Peringkat Sekarang,Peringkat Sebelumnya,NPSN,Nama Sekolah,Total Nilai,Provinsi,Kabupaten/Kota,Jenis Sekolah
,,,,,,,"

SMA
MA 
SMK
Paket C
"
1,,20623314,MAN INSAN CENDEKIA SERPONG More..,"666,494",Prov. Banten,Kota Tangerang Selatan,MA
2,11,20532145,SMA KATOLIK ST.LOUIS 1 More..,"641,482",Prov. Jawa Timur,Kota Surabaya,SMA
3,-,69978389,SMA PRADITA DIRGANTARA More..,"640,747",Prov. Jawa Tengah,Kab. Boyolali,SMA
4,30,69941723,MAN INSAN CENDEKIA PEKALONGAN More..,"637,499",Prov. Jawa Tengah,Kota Pekalongan,MA
5,-2,20102568,SMAN 8 JAKARTA More..,"635,347",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
6,6,20107313,SMA LABSCHOOL KEBAYORAN More..,"634,304",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
7,9,20100170,SMAS KANISIUS JAKARTA More..,"632,269",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
8,21,20101622,SMAN 2 JAKARTA More..,"631,421",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
9,-4,20219730,SMAS BPK 1 PENABUR BANDUNG More..,"630,562",Prov. Jawa Barat,Kota Bandung,SMA
10,11,20100199,SMAN 68 JAKARTA More..,"629,223",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
11,6,20403161,SMAN 8 YOGYAKARTA More..,"628,538",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
12,-8,10263538,SMAS UNGGUL DEL More..,"628,100",Prov. Sumatera Utara,Kab. Toba,SMA
13,-3,20403174,SMAN 1 YOGYAKARTA More..,"625,860",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
14,-5,20107319,SMAN 28 JAKARTA More..,"625,145",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
15,-8,20403178,SMAN 3 YOGYAKARTA More..,"624,698",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
16,-5,20103301,SMAN 81 JAKARTA More..,"624,037",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
17,-3,20100601,SMAS KRISTEN 5 BPK PENABUR More..,"621,951",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
18,62,20401146,SMAN 1 GODEAN More..,"621,865",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
19,16,20580050,MAN 2 KOTA MALANG More..,"617,605",Prov. Jawa Timur,Kota Malang,MA
20,106,69975889,MAN INSAN CENDEKIA KOTA BATAM More..,"616,585",Prov. Kepulauan Riau,Kota Batam,MA
21,26,20403171,SMAN 6 YOGYAKARTA More..,"616,488",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
22,39,20103283,SMAN 21 JAKARTA More..,"616,405",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
23,8,20103307,SMAN 61 JAKARTA More..,"615,000",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
24,-2,30315142,SMAN BANUA KAL SEL More..,"613,488",Prov. Kalimantan Selatan,Kab. Banjar,SMA
25,1,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG More..,"613,312",Prov. Banten,Kab. Tangerang,SMA
26,-7,20102214,SMAN 34 JAKARTA More..,"613,287",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
27,12,20103314,SMAN 48 JAKARTA More..,"611,964",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
28,-5,20328915,SMAS KOLESE LOYOLA More..,"611,291",Prov. Jawa Tengah,Kota Semarang,SMA
29,-,20279931,SMAS AL-IRSYAD SATYA  More..,"609,602",Prov. Jawa Barat,Kab. Bandung Barat,SMA
30,-6,20108383,SMAS SANTA URSULA More..,"609,237",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
31,121,69856916,SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG More..,"609,216",Prov. Sumatera Selatan,Kota Palembang,SMA
32,-2,20101588,SMAN 78 JAKARTA More..,"607,431",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
33,10,20219263,SMAS ALLOYSIUS 1 More..,"605,233",Prov. Jawa Barat,Kota Bandung,SMA
34,51,20247147,SMAS PESANTREN UNGGUL AL BAYAN More..,"604,424",Prov. Jawa Barat,Kab. Sukabumi,SMA
35,-10,60728785,MAN Insan Cendekia Gorontalo More..,"603,660",Prov. Gorontalo,Kab. Bone Bolango,MA
36,26,20102193,SMAN 47 JAKARTA More..,"603,293",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
37,110,10507942,MAN INSAN CENDEKIA JAMBI More..,"602,429",Prov. Jambi,Kab. Muaro Jambi,MA
38,2,20102218,SMAN 26 JAKARTA More..,"602,227",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
39,64,20103223,SMAS LABSCHOOL JAKARTA More..,"601,467",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
40,-,69978962,MAN INSAN CENDEKIA PASURUAN More..,"600,516",Prov. Jawa Timur,Kab. Pasuruan,MA
41,19,20401145,SMAN 1 KALASAN More..,"600,355",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
42,31,20401124,SMAN 1 SLEMAN More..,"599,910",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
43,31,20220343,SMAS REGINA PACIS More..,"598,917",Prov. Jawa Barat,Kota Bogor,SMA
44,21,20402126,SMAN 1 WONOSARI More..,"598,569",Prov. D.I. Yogyakarta,Kab. Gunung Kidul,SMA
45,55,20103303,SMAN 71 JAKARTA More..,"598,365",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
46,25,20103285,SMAN 12 JAKARTA More..,"597,100",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
47,32,20101589,SMAN 65 JAKARTA More..,"595,949",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
48,-40,20532248,SMAN 5 SURABAYA More..,"595,634",Prov. Jawa Timur,Kota Surabaya,SMA
49,26,60724799,SMAS DARMA YUDHA More..,"594,667",Prov. Riau,Kota Pekanbaru,SMA
50,20,69983368,MAN INSAN CENDEKIA PADANG PARIAMAN More..,"594,622",Prov. Sumatera Barat,Kab. Padang Pariaman,MA
51,79,20401156,SMAS KOLESE DE BRITTO DEPOK More..,"594,617",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
52,20,20253599,SMAS PENABUR More..,"594,090",Prov. Jawa Barat,Kota Bekasi,SMA
53,38,20102212,SMAN 38 JAKARTA More..,"593,853",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
54,54,20102592,SMAN 49 JAKARTA More..,"593,747",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
55,74,20401161,SMAN 1 DEPOK More..,"593,477",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
56,68,20403170,SMAN 7 YOGYAKARTA More..,"593,277",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
57,117,20403375,MAN 1 YOGYAKARTA More..,"592,462",Prov. D.I. Yogyakarta,Kota Yogyakarta,MA
58,24,20103296,SMAN 39 JAKARTA More..,"592,409",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
59,-6,20403180,SMAN 5 YOGYAKARTA More..,"591,220",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
60,-16,20400405,SMA NEGERI 1 BANTUL More..,"590,731",Prov. D.I. Yogyakarta,Kab. Bantul,SMA
61,73,69941607,MAN Insan Cendekia Oki More..,"590,113",Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,MA
62,-20,10310903,SMAN 1 SUMATERA BARAT More..,"589,803",Prov. Sumatera Barat,Kota Padang Panjang,SMA
63,-15,20533654,SMAS K KOLESE ST YUSUP More..,"589,501",Prov. Jawa Timur,Kota Malang,SMA
64,-14,20403162,SMAN 9 YOGYAKARTA More..,"589,077",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
65,55,20402794,SMA NEGERI 1 WATES More..,"588,705",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
66,-15,20219327,SMAN 3 BANDUNG More..,"588,599",Prov. Jawa Barat,Kota Bandung,SMA
67,40,20103256,SMAN 99 JAKARTA More..,"588,156",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
68,-,69986890,SMA UNGGULAN CT ARSA FOUNDATION SUKOHARJO More..,"587,175",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
